TA,TR,HR,WI
101,75,91,13
100,74,94,12
99,74,88,12
99,75,91,14
100,74,85,15
101,75,88,13
101,73,87,12
102,73,87,12
101,74,85,13
101,75,91,13
102,76,94,21
93,77,100,9
92,78,100,16
97,76,94,22
96,75,91,9
97,76,100,12
98,75,91,13
99,74,94,13
98,74,94,12
99,74,94,10
99,75,88,12
100,76,91,12
100,75,88,12
100,75,91,12
100,75,91,10
102,76,91,13
102,77,91,12
102,76,91,12
105,76,91,15
96,76,94,13
84,76,100,15
76,73,100,7
83,76,100,10
84,78,100,12
88,80,100,12
93,77,100,10
83,77,94,10
82,75,100,8
91,77,94,13
94,76,91,13
93,75,94,13
94,75,100,13
93,75,94,13
92,73,93,12
92,75,91,12
91,75,94,16
92,73,94,12
94,74,100,9
96,74,94,10
92,75,87,9
92,74,94,10
93,75,94,13
94,77,94,14
95,78,97,17
96,77,97,13
95,76,91,12
95,75,94,13
93,75,94,18
93,68,84,7
93,73,93,10
94,75,100,9
92,76,82,14
94,74,93,12
95,74,94,9
96,75,90,7
98,75,94,8
99,75,94,10
99,75,94,10
96,75,91,10
94,74,84,14
93,77,94,14
97,76,94,15
88,76,100,13
73,72,100,13
80,64,87,9
89,65,93,8
86,62,87,12
83,55,73,8
80,61,87,7
85,60,93,8
87,64,90,10
91,72,90,12
92,74,94,13
92,74,94,16
89,73,94,16
86,63,90,9
84,58,73,8
84,52,83,7
88,59,83,9
91,72,84,10
89,73,94,12
87,71,100,14
91,71,93,12
94,72,87,14
94,72,93,12
93,73,87,13
92,74,94,12
83,70,93,17
77,47,71,9
80,48,86,9
84,62,86,13
86,67,93,10
86,66,100,10
87,66,93,10
88,67,93,9
86,64,90,12
86,65,93,12
87,67,100,10
86,69,100,12
91,73,100,15
88,74,100,12
80,73,93,16
73,67,93,8
72,68,100,7
76,67,93,12
71,69,100,7
69,66,100,10
65,62,100,10
71,58,90,8
74,60,100,8
77,58,93,9
76,58,93,7
82,62,100,9
86,58,87,8
86,57,86,9
82,66,100,15
79,68,90,17
63,33,67,13
67,36,85,10
77,57,84,13
76,69,97,13
73,69,100,14
76,60,93,8
66,60,97,10
70,56,83,7
76,65,86,14
79,66,84,17
79,48,80,8
67,42,66,13
69,43,85,12
64,57,90,10
52,50,100,12
53,49,93,13
52,50,100,10
58,48,100,17
56,48,100,13
52,44,83,21
46,26,56,12
52,50,96,9
67,61,100,14
67,52,93,10
77,60,100,14
57,48,89,12
54,43,92,12
67,61,96,12
76,67,100,21
37,18,58,21
45,17,59,13
59,25,59,7
71,40,55,12
68,40,63,12
68,64,100,7
78,68,100,17
80,67,90,17
84,70,93,12
76,68,97,7
83,67,93,12
70,65,84,18
55,34,48,12
77,61,90,10
73,60,97,7
73,62,100,15
75,44,80,12
48,31,68,10
62,47,79,15
34,18,60,17
44,13,73,12
53,32,81,14
71,55,89,15
79,58,90,17
80,63,93,16
81,65,87,14
78,69,100,14
56,51,100,8
73,66,100,17
70,61,97,9
59,55,100,14
56,52,100,9
71,55,100,12
76,55,93,8
81,58,100,21
70,42,47,24
76,39,65,10
84,64,87,14
69,63,84,15
59,30,64,10
58,30,70,13
61,37,82,14
70,34,65,14
79,35,61,12
78,50,67,13
82,59,100,14
64,39,65,13
53,37,61,13
51,52,100,9
72,64,100,12
78,67,93,12
86,66,100,13
87,46,77,18
68,37,54,10
79,63,87,7
86,67,93,12
79,66,93,14
78,64,84,18
67,62,93,20
65,38,82,16
70,39,79,12
77,60,93,13
86,64,90,12
81,68,90,20
70,59,100,21
82,55,100,15
87,49,71,10
90,60,73,15
80,50,43,17
63,33,58,13
72,64,93,12
82,66,93,13
80,68,90,14
73,67,93,21
66,28,42,13
71,38,70,14
59,57,100,13
75,65,100,12
84,67,93,16
77,67,93,17
76,64,78,12
80,66,93,14
83,65,93,12
66,64,100,9
62,60,93,18
70,52,100,12
73,46,57,12
75,54,86,14
79,63,100,14
83,64,87,15
84,66,93,10
85,65,93,12
85,65,87,13
85,63,93,13
83,64,87,14
85,63,87,24
83,71,90,17
84,51,71,12
86,66,93,18
86,67,90,13
86,68,90,22
84,68,100,15
82,50,77,15
86,59,80,18
76,65,93,16
77,67,93,16
90,54,93,10
89,62,72,14
75,43,63,21
79,47,77,9
81,51,77,12
82,62,93,15
81,66,87,15
80,73,90,13
72,70,100,10
78,65,97,10
82,66,100,14
84,64,93,12
84,66,87,14
84,68,90,14
80,67,90,16
82,65,90,10
85,66,87,14
88,68,90,12
89,67,84,14
73,67,86,14
77,44,71,14
82,54,86,14
90,70,90,16
91,70,84,18
86,64,84,15
95,72,84,17
92,73,82,18
78,54,63,18
91,56,77,14
92,63,84,16
95,72,93,18
79,47,60,18
86,48,67,13
91,53,77,12
88,59,78,15
84,63,87,16
76,72,93,12
83,70,90,14
88,72,93,15
88,70,93,14
89,58,80,10
93,65,90,13
92,66,93,15
86,69,90,20
90,74,100,14
94,73,94,20
95,71,87,18
84,71,93,15
78,67,93,14
77,65,93,9
86,65,100,21
87,55,86,12
94,70,76,17
92,75,87,13
97,76,94,15
94,73,93,18
88,69,93,8
88,68,90,8
85,70,97,17
89,71,97,10
92,72,93,12
92,73,94,12
91,71,100,12
90,70,100,25
92,70,97,14
95,68,84,9
93,68,79,9
90,71,87,13
93,69,84,14
93,70,87,13
94,72,87,15
98,73,88,18
96,74,85,14
99,74,94,13
98,73,82,16
101,75,85,15
100,74,85,13
92,74,94,13
98,72,82,10
97,72,82,14
99,72,74,10
104,75,91,14
85,76,85,13
90,74,87,13
91,74,100,15
91,74,100,20
92,72,93,10
99,75,94,13
98,75,85,16
98,76,85,15
100,75,91,14
99,74,88,13
101,74,85,13
99,74,85,13
100,74,88,12
99,74,88,15
100,71,87,9
101,71,82,12
100,72,87,12
101,73,88,14
101,73,88,13
102,74,88,10
101,74,88,15
103,73,100,23
99,71,100,12
98,75,88,16
100,74,88,14
101,74,88,18
103,75,85,14
104,74,85,14
103,74,88,13
103,74,85,13
102,75,91,13
103,75,91,15
103,75,91,15
103,71,82,12
105,71,87,14
107,72,82,12
106,70,69,13
99,66,64,12
